Date,Open,High,Low,Close,Adj Close,Volume
20-10-2023,157.5,158.5,154,156.5,156.5,4285346
23-10-2023,154,160,154,157.5,157.5,1731478
24-10-2023,157.5,162.5,157.5,161,161,2604488
25-10-2023,162,166.5,162,164.5,164.5,2937942
26-10-2023,161,166.5,159,165.5,165.5,3872090
27-10-2023,165.5,168.5,165.5,167.5,167.5,3560301
30-10-2023,167.5,169,165,168,168,3009193
31-10-2023,168,169,164,165,165,3894362
01-11-2023,166,167,163,166,166,1986179
02-11-2023,168,171,168,170.5,170.5,3486506
03-11-2023,170.5,171.5,169,170,170,2292575
06-11-2023,171.5,173,170,172.5,172.5,3954986
07-11-2023,171.5,172,170,171,171,2405947
08-11-2023,172,174,171,173,173,2150924
09-11-2023,173,174,171,172,172,1581842
10-11-2023,172.5,175.5,172,174.5,174.5,3411828
13-11-2023,173.5,173.5,165.5,166,166,6756793
14-11-2023,166.5,167.5,163.5,166.5,166.5,4335055
15-11-2023,168.5,170,168,168,168,4926567
16-11-2023,167.5,167.5,164,164.5,164.5,3624902
17-11-2023,165.5,167,165,166,166,1705187
20-11-2023,167,167,164,165,165,2405548
21-11-2023,166,171,166,170,170,4860201
22-11-2023,169,170.5,168,169.5,169.5,2624955
23-11-2023,169.5,170.5,168,169,169,2188523
24-11-2023,170,171.5,169,169,169,2197826
27-11-2023,169,170.5,167,167.5,167.5,2136431
28-11-2023,169,169.5,166.5,168,168,3458339
29-11-2023,170,183,169,181,181,15134098
30-11-2023,183,187,180,183.5,183.5,12428272
01-12-2023,183.5,185,181,185,185,6640830
04-12-2023,186.5,187.5,183,183.5,183.5,4047003
05-12-2023,180,181.5,176.5,178,178,5980412
06-12-2023,178,179.5,176.5,176.5,176.5,5349045
07-12-2023,178,180.5,176.5,180,180,4848018
08-12-2023,182,183.5,178.5,179,179,5637819
11-12-2023,179,181,176.5,177,177,4562138
12-12-2023,177.5,179,175.5,177,177,5403356
13-12-2023,179,181,178,178,178,5152980
14-12-2023,180.5,183,179,181.5,181.5,5324040
15-12-2023,183,183,179,179,179,5451250
