Date,Open,High,Low,Close,Adj Close,Volume
17-05-2023,302.5,305,302,303.5,288.932007,3178876
18-05-2023,304.5,310,303,308,293.216003,3951572
19-05-2023,306,309.5,305,308,293.216003,2310376
22-05-2023,307.5,308,303.5,306.5,291.787994,1566021
23-05-2023,307.5,309,306.5,307,292.264008,2733317
24-05-2023,307,308,304.5,308,293.216003,1968672
25-05-2023,307,308.5,304,304.5,289.884003,2274919
26-05-2023,304.5,309,304,308.5,293.692017,2264914
29-05-2023,309.5,312,303.5,303.5,288.932007,1933322
30-05-2023,307.5,307.5,303.5,304,289.40802,2249903
31-05-2023,304,307,303,305,290.360016,5463981
01-06-2023,304,307,301.5,306,291.312012,1146140
02-06-2023,306,316,305.5,315,299.880005,4300118
05-06-2023,315,315.5,312.5,313.5,298.451996,2317070
06-06-2023,312.5,315,311,313,297.976013,1811580
07-06-2023,313,316,313,314.5,299.403992,1236970
08-06-2023,313,316.5,312,314,298.928009,1698649
09-06-2023,316.5,316.5,314,315,299.880005,1426649
12-06-2023,316,325,316,324.5,308.924011,3596154
13-06-2023,328,328,319,320,304.640015,2205345
14-06-2023,320,321,316,317.5,302.26001,1821754
15-06-2023,318,322.5,315,319.5,304.164001,2127526
16-06-2023,318,319.5,313.5,316.5,301.308014,4467021
19-06-2023,314.5,316,310,311,296.072021,3499309
20-06-2023,312,314,308,310,295.119995,3977638
21-06-2023,311,317.5,310,314.5,299.403992,2987124
26-06-2023,317,324,313.5,321,305.59201,4722274
27-06-2023,319.5,320,315.5,315.5,300.356018,1565261
28-06-2023,316,319,314,316,300.832001,1571072
29-06-2023,308,317,308,314,298.928009,3748240
30-06-2023,311,317,311,314.5,299.403992,2863655
03-07-2023,319,319,312,312.5,297.5,3594590
04-07-2023,298.5,302.5,293,293.5,293.5,6790210
05-07-2023,294,298,292,296.5,296.5,1683419
06-07-2023,298,302.5,295.5,300,300,2966401
07-07-2023,300,300,291,293,293,2140715
10-07-2023,293,295,291,292,292,1432084
11-07-2023,297.5,299,292.5,296,296,2262049
12-07-2023,293.5,296.5,291.5,296.5,296.5,2273952
13-07-2023,297.5,300,293.5,295.5,295.5,1923146
14-07-2023,297.5,298,293.5,298,298,1387428
17-07-2023,297.5,299.5,296,299.5,299.5,1320192
18-07-2023,300,316,300,306.5,306.5,6052384
19-07-2023,311.5,311.5,295.5,298,298,2577641
20-07-2023,300,304.5,297,303,303,1945883
21-07-2023,314.5,333,312,333,333,14622928
24-07-2023,360,366,352.5,366,366,28386321
25-07-2023,388,399,362,367.5,367.5,37143023
26-07-2023,377,382.5,363.5,367,367,13819153
27-07-2023,375,375,353.5,356,356,9711640
28-07-2023,366.5,388,360,388,388,26795873
31-07-2023,399,399,352,364,364,24695294
01-08-2023,376.5,380,358.5,372,372,14212049
02-08-2023,369.5,374,358,361.5,361.5,9245603
04-08-2023,361.5,365,352,362,362,5780277
07-08-2023,361.5,376,357.5,370.5,370.5,6803585
08-08-2023,370.5,376,360.5,376,376,5628335
09-08-2023,389.5,389.5,372,379,379,18853014
10-08-2023,370,373,352.5,368.5,368.5,11384319
11-08-2023,371.5,376,363,368,368,6110091
14-08-2023,363,380,362.5,371,371,15316072
15-08-2023,380,390,380,385,385,15105251
16-08-2023,379.5,389.5,377,389.5,389.5,11274057
17-08-2023,386,393.5,382.5,393.5,393.5,10421625
18-08-2023,399,399,379,384,384,10067141
21-08-2023,382.5,391,382,386,386,7387456
22-08-2023,391,397,385.5,395,395,12819241
23-08-2023,397.5,418,392.5,414.5,414.5,20836270
24-08-2023,432,438,414.5,428,428,21929613
25-08-2023,415.5,426,406,413,413,12902376
28-08-2023,414,415.5,394,405,405,10066538
29-08-2023,410,413,400,405,405,5843350
30-08-2023,414,416.5,401.5,403,403,6411354
31-08-2023,398.5,403,396,402.5,402.5,8392473
01-09-2023,408,409,399,400,400,4961984
04-09-2023,402,403.5,395,400,400,3890842
05-09-2023,398,400,382,394,394,6250716
06-09-2023,397,407.5,395,403.5,403.5,5150946
07-09-2023,403.5,403.5,398,401,401,2932319
